,number,model_name,slump,allStarts,bb,rb,judge
318,2319,ゴーゴージャグラーＫＫ,1541,5663,24,18,win
319,2320,ゴーゴージャグラーＫＫ,-302,3645,13,8,lose
320,2321,ゴーゴージャグラーＫＫ,-616,7963,30,16,lose
321,2322,ゴーゴージャグラーＫＫ,2587,8811,40,42,win
322,2323,ゴーゴージャグラーＫＫ,22,6543,22,27,win
323,2324,ゴーゴージャグラーＫＫ,912,3402,16,8,win
324,2325,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1449,6878,22,16,lose
325,2326,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-446,2793,10,3,lose
326,2327,アイムジャグラーＥＸ－ＡＥ／ＫＴ,1364,8109,32,23,win
327,2328,アイムジャグラーＥＸ－ＡＥ／ＫＴ,0,0,0,0,lose
328,2329,アイムジャグラーＥＸ－ＡＥ／ＫＴ,379,7110,28,16,win
329,2330,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-299,4400,16,7,lose
330,2331,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1746,4305,10,12,lose
331,2332,アイムジャグラーＥＸ－ＡＥ／ＫＴ,3178,8621,38,26,win
332,2333,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-412,4855,17,10,lose
